extId,Country,District,Ward,Village,Hamlet
ACA,Mozambique,Mopeia,Posto Campo,Luala,Acordos de Lusaka
CAD,Mozambique,Mopeia,Posto Campo,Luala,Cadongo
CAL,Mozambique,Mopeia,Posto Campo,Luala,Caline
CET,Mozambique,Mopeia,Posto Campo,Luala,Ceta
DBV,Mozambique,Mopeia,Posto Campo,Luala,Chiurine
LIE,Mozambique,Mopeia,Posto Campo,Luala,Liberdade
LIM,Mozambique,Mopeia,Posto Campo,Luala,Lima
MAU,Mozambique,Mopeia,Posto Campo,Luala,Mauia
MIC,Mozambique,Mopeia,Posto Campo,Luala,Micombezi
MIR,Mozambique,Mopeia,Posto Campo,Luala,Mirrongone
MPI,Mozambique,Mopeia,Posto Campo,Luala,Mpiaeca
MUD,Mozambique,Mopeia,Posto Campo,Luala,Mudiba
NAS,Mozambique,Mopeia,Posto Campo,Luala,Nasarone
NHI,Mozambique,Mopeia,Posto Campo,Luala,Nhamirimba
PAZ,Mozambique,Mopeia,Posto Campo,Luala,Paz
RIM,Mozambique,Mopeia,Posto Campo,Luala,Rimba
SIM,Mozambique,Mopeia,Posto Campo,Luala,Simogo
SIT,Mozambique,Mopeia,Posto Campo,Luala,Sitone
COM,Mozambique,Mopeia,Posto Campo,Mungane,Compone
GUI,Mozambique,Mopeia,Posto Campo,Mungane,Guia
LUL,Mozambique,Mopeia,Posto Campo,Mungane,Luala
MIA,Mozambique,Mopeia,Posto Campo,Mungane,Micajune
MIP,Mozambique,Mopeia,Posto Campo,Mungane,Mipurene
MIE,Mozambique,Mopeia,Posto Campo,Mungane,Mirerene
MUM,Mozambique,Mopeia,Posto Campo,Mungane,Muanamaino
NAL,Mozambique,Mopeia,Posto Campo,Mungane,Namicole
PAM,Mozambique,Mopeia,Posto Campo,Mungane,Pambane
VAR,Mozambique,Mopeia,Posto Campo,Mungane,Vareia
ZEN,Mozambique,Mopeia,Posto Campo,Mungane,Zengue
1 A,Mozambique,Mopeia,Sambalendo,Chimuara,1 de Maio
25B,Mozambique,Mopeia,Sambalendo,Chimuara,25 de Setembro
3 3,Mozambique,Mopeia,Sambalendo,Chimuara,3 de Fevereiro
7  ,Mozambique,Mopeia,Sambalendo,Chimuara,7 de Setembro
ACK,Mozambique,Mopeia,Sambalendo,Chimuara,Acordos de Lusaka
ARE,Mozambique,Mopeia,Sambalendo,Chimuara,Armando Emilio Guebuza
BRA,Mozambique,Mopeia,Sambalendo,Chimuara,Braz
CHM,Mozambique,Mopeia,Sambalendo,Chimuara,Chimuara Sede
CHZ,Mozambique,Mopeia,Sambalendo,Chimuara,Chizimba
COY,Mozambique,Mopeia,Sambalendo,Chimuara,Coyowe
EDO,Mozambique,Mopeia,Sambalendo,Chimuara,Eduardo Mondlane
FAR,Mozambique,Mopeia,Sambalendo,Chimuara,Fardo
JOM,Mozambique,Mopeia,Sambalendo,Chimuara,Josina Machel
JUL,Mozambique,Mopeia,Sambalendo,Chimuara,Julius Nyerere
LID,Mozambique,Mopeia,Sambalendo,Chimuara,Liberdade
MAO,Mozambique,Mopeia,Sambalendo,Chimuara,Magaio
MAV,Mozambique,Mopeia,Sambalendo,Chimuara,Mambucha
MAW,Mozambique,Mopeia,Sambalendo,Chimuara,Mandawa
