list_name,name,label::Portuguese,label::Swahili,country,region,district,ward,village,hamlet,code
hamlet,Namicole,Namicole,Namicole,Mozambique,Zambezia,Mopeia,Campo | Mungane,Avalinho,Namicole,NAI
hamlet,Other,Outro,Nyingine,Mozambique,Zambezia,Mopeia,Campo | Mungane,Avalinho,Outro,NA
hamlet,Avareia,Avareia,Avareia,Mozambique,Zambezia,Mopeia,Campo | Mungane,Biringuinho,Avareia,XAV
hamlet,Compone,Compone,Compone,Mozambique,Zambezia,Mopeia,Campo | Mungane,Biringuinho,Compone,COM
hamlet,Muanamaino,Muanamaino,Muanamaino,Mozambique,Zambezia,Mopeia,Campo | Mungane,Biringuinho,Muanamaino,MUM
hamlet,Mungombe,Mungombe,Mungombe,Mozambique,Zambezia,Mopeia,Campo | Mungane,Biringuinho,Mungombe,XMU
hamlet,Pambane,Pambane,Pambane,Mozambique,Zambezia,Mopeia,Campo | Mungane,Biringuinho,Pambane,PAM
hamlet,Other,Outro,Nyingine,Mozambique,Zambezia,Mopeia,Campo | Mungane,Biringuinho,Outro,NA
hamlet,Guia,Guia,Guia,Mozambique,Zambezia,Mopeia,Campo | Mungane,Chirama,Guia,GUI
hamlet,Luala,Luala,Luala,Mozambique,Zambezia,Mopeia,Campo | Mungane,Chirama,Luala,LUA
hamlet,Mirerene,Mirerene,Mirerene,Mozambique,Zambezia,Mopeia,Campo | Mungane,Chirama,Mirerene,MIM
hamlet,Zengue,Zengue,Zengue,Mozambique,Zambezia,Mopeia,Campo | Mungane,Chirama,Zengue,ZEN
hamlet,Other,Outro,Nyingine,Mozambique,Zambezia,Mopeia,Campo | Mungane,Chirama,Outro,NA
hamlet,Other,Outro,Nyingine,Mozambique,Zambezia,Mopeia,Campo | Mungane,Other,Outro,NA
hamlet,25 de Setembro,25 de Setembro,25 de Setembro,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,25 de Setembro,DEX
hamlet,Ambrosio,Ambrosio,Ambrosio,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Ambrosio,AMB
hamlet,Bone,Bone,Bone,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Bone,XAM
hamlet,Chimpene,Chimpene,Chimpene,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Chimpene,CHM
hamlet,Chipire,Chipire,Chipire,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Chipire,CHP
hamlet,Chitequeteque,Chitequeteque,Chitequeteque,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Chitequeteque,CHT
hamlet,Chizimba,Chizimba,Chizimba,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Chizimba,CHZ
hamlet,Cua cua muana,Cua cua muana,Cua cua muana,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Cua cua muana,MUX
hamlet,Dande,Dande,Dande,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Dande,DAN
hamlet,Eduardo Mondlane,Eduardo Mondlane,Eduardo Mondlane,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Eduardo Mondlane,EDU
hamlet,Gemusse,Gemusse,Gemusse,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Gemusse,GMX
hamlet,Malulo,Malulo,Malulo,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Malulo,MAL
hamlet,Massancare,Massancare,Massancare,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Massancare,MSC
hamlet,Mitchiu,Mitchiu,Mitchiu,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Mitchiu,TCH
hamlet,Muriwa,Muriwa,Muriwa,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Muriwa,MUR
hamlet,Muto A,Muto A,Muto A,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Muto A,MUT
hamlet,Muto B,Muto B,Muto B,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Muto B,MUB
hamlet,Namacheta,Namacheta,Namacheta,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Namacheta,NMX
hamlet,Ndima Mangaze,Ndima Mangaze,Ndima Mangaze,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Ndima Mangaze,NDI
hamlet,Nhaminga,Nhaminga,Nhaminga,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Nhaminga,NHX
hamlet,Nhangona,Nhangona,Nhangona,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Nhangona,NXG
hamlet,Norte,Norte,Norte,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Norte,NOR
hamlet,Tewe,Tewe,Tewe,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Tewe,TEW
hamlet,Zona Verde A,Zona Verde A,Zona Verde A,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Zona Verde A,ZVA
hamlet,Zona Verde B,Zona Verde B,Zona Verde B,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Zona Verde B,ZVB
hamlet,Other,Outro,Nyingine,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Outro,NA
hamlet,Alfredo,Alfredo,Alfredo,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Dombe,Alfredo,ALF
hamlet,Benejuaque,Benejuaque,Benejuaque,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Dombe,Benejuaque,BEN
hamlet,Chicote,Chicote,Chicote,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Dombe,Chicote,CHI
hamlet,Chunga,Chunga,Chunga,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Dombe,Chunga,CHU
hamlet,Cubalalica,Cubalalica,Cubalalica,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Dombe,Cubalalica,CUB
hamlet,Mbalame,Mbalame,Mbalame,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Dombe,Mbalame,MBZ
hamlet,Nzondoene,Nzondoene,Nzondoene,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Dombe,Nzondoene,ZOD
hamlet,Posso,Posso,Posso,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Dombe,Posso,POS
hamlet,Sabesse,Sabesse,Sabesse,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Dombe,Sabesse,SAB
hamlet,Other,Outro,Nyingine,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Dombe,Outro,NA
hamlet,24 de Julho,24 de Julho,24 de Julho,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Marruma,24 de Julho,DEJ
hamlet,24 de Julho B,24 de Julho B,24 de Julho B,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Marruma,24 de Julho B,BBB
hamlet,25 de Junho,25 de Junho,25 de Junho,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Marruma,25 de Junho,DEU
hamlet,4 de Outubro,4 de Outubro,4 de Outubro,Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Marruma,4 de Outubro,DEO
